month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8240669121541988,0.00213692757591228,0.0003601433367854475,96313,34,0.0003530156884325065
2,0.5581118616009402,0.0008795758121931501,0.0005580069478440477,96331,52,0.0005398054624160447
3,0.5872955284580994,0.004845580568773017,0.00019580214988543446,96296,18,0.0001869236520727756
4,0.8988003614495372,0.0006302374003555436,0.00020556392429318273,96289,10,0.0001038540227855726
5,0.7608885984376009,0.008150228558855492,0.0027379019962540563,96487,214,0.002217915366836983
6,0.726616980175543,0.029245591969059098,0.016554195799698034,97715,1497,0.015320063449828582
7,0.7625200163376457,0.2557260285857183,0.11076204909851128,110170,14466,0.1313061632023237
8,0.8069005570152652,0.369625461118624,0.131694644813628,113830,18279,0.16058156900641307
9,0.8534277502689598,0.24301575738698805,0.05776179085606745,102972,6961,0.06760090121586451
10,0.8133977895860617,0.047509511014616944,0.011941850716444624,97325,1089,0.011189314153609043
11,0.49154096243934514,0.002075524221669031,0.0025302640238262244,96468,195,0.002021395695982087
12,0.9883439802876057,0.08321639763976474,0.001334062392845769,96408,134,0.0013899261472077006
