feature,importance_mean,importance_std
tmax,0.39254987735151065,0.0014705332374516753
vpd,0.056564144377877226,0.0004797986103770464
dist_airbase_km,0.04303422392747343,0.0019652248717188805
sws,0.0427805928050794,0.0011147858954633225
tsf_years,0.032253450993186904,0.0006746527002823024
tmin,0.03203448670585549,0.0005490558095957101
tsf_log,0.02373810086252335,0.000433589897142028
month_sin,0.02185485833357643,0.0005761854738922312
month_cos,0.021230980261807076,0.0003741617760255146
elev,0.018808619358555802,0.0004471795887000573
kbdi,0.013553948726840747,0.00021731629673059314
aridity_index,0.012972458570428946,0.00024282656084455458
dist_firestation_km,0.012413937175902733,0.0006229332951630575
dist_campground_km,0.012358038983353591,0.0009305561064479475
pet_anom_a,0.006082334535536149,0.0005457325245352448
cwd_cum3_anom_a,0.004427976189575178,0.00019659125518355086
cwd_cum6_anom_a,0.0035475747436182203,0.0002798376043944152
log_housing_density,0.002197427606614921,0.00025257438413540684
dist_road_km,0.0017229205533865644,0.0001231557205230749
vpd_roll6_std,0.0015410304754048143,0.0001090377176562513
cwd_anom_a,0.0014833910651431026,0.00010123269588868117
srad,0.0014823101373683035,0.00026873619092628904
fire_season,0.0011374768706388094,0.0001658331867662886
windward_index,0.0010510627816813444,8.248753523690604e-05
tst_broadcast_years,0.0003504878243180132,5.464609411593044e-05
fveg_forest,0.00017373046660837944,3.347160739872566e-05
any_treatment_5yr,0.0,0.0
ppt,-9.77226174713408e-05,5.844451907578259e-05
dist_transmission_km,-0.00013280510372977173,0.00025886329070504724
tst_mechanical_years,-0.0002110287814723444,4.679584388959226e-05
fveg_herb,-0.0002911523694447915,0.00012334243237411717
fveg_shrub,-0.0003209296563181141,0.00026932403407750887
aet_anom_a,-0.00042788635963726397,5.921428723678313e-05
housing_density,-0.0013004529125510312,0.0001522202686457615
