ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9299833477901108,0.03448207186322009,0.003136507349879702,180491,572,0.003169133086968325
1,0.9218120457528095,0.11240802030891316,0.01733385028870155,32660,585,0.017911818738518066
4,0.9240012895421302,0.47544575096846997,0.07229233033974097,36555,3264,0.08929011079195733
5,0.8700370420537996,0.28233236307537923,0.06911495911648417,135206,11331,0.08380545242075056
6,0.8686490228460436,0.19630217594199859,0.04427109881564788,193403,9894,0.05115742775448157
7,0.8377139616369333,0.045000735746605236,0.004474919909826766,110912,402,0.0036244950952106173
8,0.8003252016436831,0.12472795525817006,0.049605506254295724,40136,2241,0.05583516045445485
9,0.8767170304960159,0.12241978135408137,0.026673931660662415,41922,1233,0.029411764705882353
13,0.7370080083938759,0.1062627131525504,0.016644437700071027,29655,516,0.017400101163378857
14,0.8988270733766408,0.028012038268497488,0.00528322091746555,180897,939,0.005190799184066071
78,0.8827946778333506,0.41149281525187753,0.09361270188441966,89060,10524,0.11816752750954412
80,0.8109475325958214,0.05314921511651373,0.02021863950106085,9062,188,0.02074597219156919
85,0.789792388811827,0.0682338565907925,0.023397802540619572,50633,1186,0.023423459008946733
