feature,importance_mean,importance_std
tmax,0.37953413855031265,0.0015591500208096893
vpd,0.05239364195760234,0.0006484618551790537
sws,0.0459079984560421,0.0011521770777440073
dist_airbase_km,0.03562275772019743,0.0019627626650036635
tmin,0.026994367184166302,0.00048767684423881594
tsf_years,0.026607751438965786,0.0006394080256976445
month_sin,0.026243965416365665,0.00044825369201002683
tsf_log,0.021979717078169723,0.0003531331300929388
elev,0.017497627620199796,0.00046209098347906014
pet_anom_b,0.015841787948523024,0.0005539495310297909
month_cos,0.011631479519613097,0.0005841350292696262
dist_firestation_km,0.01161832241393892,0.0006134527320323178
dist_campground_km,0.010410521291602071,0.0011158507255520454
aridity_index,0.00831717250977213,0.000222855391235534
kbdi,0.00673079469422806,0.0005146364121657608
srad,0.003385005846279343,0.00036959438464375966
cwd_cum3_anom_b,0.002159948306015269,0.00010265330126303053
fire_season,0.0019272813158152768,0.00011105967065056303
log_housing_density,0.0016996889661861747,0.00021999116657110552
vpd_roll6_std,0.0013547383667268154,7.950489165151647e-05
dist_road_km,0.0013157818470568294,0.00012869651704090472
windward_index,0.001315504355150421,0.00018243534330246734
cwd_anom_b,0.0011721950387710623,3.652313592294603e-05
cwd_cum6_anom_b,0.000808407842843617,0.00024214366233481373
fveg_shrub,0.0003291186008738789,0.00021870306352433615
fveg_forest,0.00018500115531683292,5.296407213276255e-05
tst_broadcast_years,0.00018460339736225961,5.54378506555374e-05
any_treatment_5yr,0.0,0.0
dist_transmission_km,-1.1319968454803764e-05,0.00022382549050615973
ppt,-0.0001402580787368102,8.677961855455258e-05
tst_mechanical_years,-0.0001902949147607913,2.5089619817197885e-05
aet_anom_b,-0.0001987590045683163,2.873667984604829e-05
fveg_herb,-0.0002570824646457526,0.0001452709232991507
housing_density,-0.0009972416717843214,0.00017373863020244367
