ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9432281515956915,0.3170038795789992,0.016153010969270624,28588,572,0.02000839513082412
1,0.9585476868810202,0.6249855877022165,0.06983958788852539,5625,585,0.104
4,0.8955943615473946,0.7729070815068086,0.16778796880837618,8380,3264,0.3894988066825776
5,0.8919153339215887,0.7599686017692097,0.15294363769753644,30552,11331,0.3708758837391987
6,0.888365636535033,0.6419871052256967,0.13014833206211388,38329,9894,0.2581335281379634
7,0.8323633123044571,0.1485216789593961,0.04024690690217701,17862,402,0.022505878401074906
8,0.8393576213981545,0.5869531149466783,0.14716098951444367,8061,2241,0.27800521027167846
9,0.8664154157527815,0.44507899630407516,0.10099779266959301,7687,1233,0.16040067646676207
13,0.7398588321577039,0.3918109030971361,0.08530769951042352,5135,516,0.10048685491723466
14,0.8973835440861334,0.17067016424311082,0.03505705469069307,28945,939,0.032440836068405594
78,0.8886639380491225,0.8157192296614313,0.18120627929778185,22815,10524,0.46127547666009205
80,0.7934948246118458,0.233958141203224,0.09572333776151833,1668,188,0.11270983213429256
85,0.8087808775849058,0.3752942299541305,0.11267979390947593,8983,1186,0.13202716241790047
