month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8226861373920197,0.013329686526602092,0.002484127936611316,15049,34,0.0022592863313176956
2,0.5647275641025641,0.0050661378770120065,0.003999651294139901,15052,52,0.0034546904065904864
3,0.5889707129009192,0.028044884746773982,0.0014718015320658413,15091,18,0.0011927638990126565
4,0.8963390370075607,0.004131807192508472,0.0035466182414417243,15088,10,0.000662778366914104
5,0.7597815643035212,0.048560775371441434,0.02626475464691836,15232,214,0.01404936974789916
6,0.7297070881788625,0.16505077716664368,0.10181374217416912,16401,1497,0.09127492226083775
7,0.7656933826046667,0.6887448769631809,0.22239734927075305,29315,14466,0.49346750810165446
8,0.8084739375754206,0.7807535219592894,0.22237786562932144,33478,18279,0.5460003584443515
9,0.8559065970433974,0.6704854693769262,0.16309441626481,21839,6961,0.3187417006273181
10,0.8136641419802969,0.22158253330360797,0.0769463500663474,16092,1089,0.06767337807606263
11,0.49196363779169927,0.013053116131514376,0.0251151526370295,15212,195,0.012818827241651327
12,0.9885843037341234,0.36122654048979674,0.007037053142782635,15166,134,0.00883555321113016
