ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9313894183343783,0.19060477283552618,0.017755329500859268,28588,572,0.02000839513082412
1,0.925652726902727,0.4573534786659255,0.08167845660420853,5625,585,0.104
4,0.9259680019144092,0.8420675358830634,0.15039089340247216,8380,3264,0.3894988066825776
5,0.8733632330798135,0.7197419376942429,0.15604582472511758,30552,11331,0.3708758837391987
6,0.8706856153333299,0.6079887907241647,0.1343815955289983,38329,9894,0.2581335281379634
7,0.834618645033709,0.15581972061155913,0.04065538590632382,17862,402,0.022505878401074906
8,0.8100322634562689,0.49293879210104596,0.15301433587192156,8061,2241,0.27800521027167846
9,0.8765308599808338,0.46435837110348904,0.09913596317869731,7687,1233,0.16040067646676207
13,0.7283557466547846,0.3609145024706544,0.08604085695872468,5135,516,0.10048685491723466
14,0.899509780993986,0.15570692722553253,0.03274472557622855,28945,939,0.032440836068405594
78,0.882809584230083,0.8095968322556575,0.16986464269830534,22815,10524,0.46127547666009205
80,0.8094289102932719,0.2492462060138981,0.09141483914187308,1668,188,0.11270983213429256
85,0.791672911771964,0.3175290998878512,0.11609850712597419,8983,1186,0.13202716241790047
