month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.835039470333588,0.015380400831799427,0.002390843388441296,15049,34,0.0022592863313176956
2,0.49112692307692307,0.0038688749343549628,0.0038625069263275853,15052,52,0.0034546904065904864
3,0.5794190495145846,0.044667444046368604,0.001622497419305744,15091,18,0.0011927638990126565
4,0.8644548348587345,0.002895433610218427,0.005905556864206801,15088,10,0.000662778366914104
5,0.7034256711261129,0.03073079850898815,0.04099395340961638,15232,214,0.01404936974789916
6,0.7302345341963224,0.16709985193226448,0.11686634901518686,16401,1497,0.09127492226083775
7,0.7884007828211805,0.7220648478770303,0.2071537533201884,29315,14466,0.49346750810165446
8,0.8056447554876229,0.7801886114521506,0.21745889348827335,33478,18279,0.5460003584443515
9,0.8058080741319925,0.5887663128140784,0.17305258622973807,21839,6961,0.3187417006273181
10,0.8288623267082121,0.24595739397858551,0.07010815874346821,16092,1089,0.06767337807606263
11,0.5115235212058813,0.014261273285060518,0.021856727435210253,15212,195,0.012818827241651327
12,0.9903246209082316,0.3861871911383412,0.006879235044953206,15166,134,0.00883555321113016
