feature,importance_mean,importance_std
tmax,0.3828278732782742,0.0019929406633805266
vpd,0.04952901824146701,0.0006154206546387725
sws,0.04293684083687797,0.00015053474951257765
dist_airbase_km,0.0333041706472186,0.0008580502632370421
tsf_years,0.02957090609648687,0.0005056698727193042
tmin,0.026694407554260002,0.0004286896087532735
month_sin,0.02477749071165978,0.00018127717982907706
tsf_log,0.022432252558550192,0.000329627846258586
pet_anom_b,0.01993998671711108,0.0003606087440025462
elev,0.017916953729644435,0.00026555150265138334
month_cos,0.012127097314724966,0.00035286181626426776
dist_firestation_km,0.011244599782757336,0.00021574980428965942
dist_campground_km,0.00951945222287165,0.0003645359552109312
aridity_index,0.009331165309692446,0.00019444022747337663
kbdi,0.0066505877483752805,0.00020287026759448586
srad,0.0033351318297577537,0.0001949473012541267
cwd_cum3_anom_b,0.0018665823066641662,9.315257441880826e-05
fire_season,0.0017787990873654902,7.04636874475677e-05
log_housing_density,0.0017299202653593194,6.05317395015101e-05
vpd_roll6_std,0.0012813863404466108,3.1707512109258374e-05
dist_road_km,0.0012268313710874779,9.163104229327102e-05
windward_index,0.001189175448429225,3.834861864543273e-05
cwd_anom_b,0.000879444822206521,2.5770729613547163e-05
cwd_cum6_anom_b,0.0005135296074005868,4.72246314506262e-05
fveg_forest,0.0002572529594788042,2.2140143749782434e-05
dist_transmission_km,0.00017945999208421882,0.00012818635146482013
fveg_shrub,0.00010839009224981045,0.00012711523817842348
any_treatment_5yr,0.0,0.0
tst_broadcast_years,-3.943942093442843e-06,3.344965595746403e-05
ppt,-9.487793513436315e-05,5.914744043150534e-05
aet_anom_b,-9.566386819854777e-05,2.895071573485583e-05
fveg_herb,-0.00010806825117402053,0.00012123507853559694
tst_mechanical_years,-0.0001365474395247146,2.4394462712120898e-05
housing_density,-0.0011117763519775225,3.239294562978195e-05
