ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9421371464478363,0.06807384207891111,0.0030471530103132493,180491,572,0.003169133086968325
1,0.9562846693446849,0.20766925762308036,0.016277773756703025,32660,585,0.017911818738518066
4,0.8941331456022679,0.34525001321730936,0.07500734838350874,36555,3264,0.08929011079195733
5,0.890837198363063,0.33948529372651737,0.06880972700467676,135206,11331,0.08380545242075056
6,0.8869997883377687,0.22268843310993233,0.04394487361669689,193403,9894,0.05115742775448157
7,0.8313158778544163,0.03587048264156854,0.004449704300290838,110912,402,0.0036244950952106173
8,0.8345722247745435,0.17243693681837807,0.04858471518476872,40136,2241,0.05583516045445485
9,0.8652784158641926,0.11525419133103822,0.026818949688387717,41922,1233,0.029411764705882353
13,0.7459734895373179,0.11576144294808569,0.016618675559093934,29655,516,0.017400101163378857
14,0.8967096375262381,0.031306247144708116,0.005391869584420773,180897,939,0.005190799184066071
78,0.8882944960430768,0.4173095377464764,0.09637885012636283,89060,10524,0.11816752750954412
80,0.7948018715923639,0.05032160675535137,0.020473395783012452,9062,188,0.02074597219156919
85,0.8082699803161925,0.09323194272850974,0.023026767027008975,50633,1186,0.023423459008946733
