month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8097555232900364,0.008116811591536953,0.0015129129286776254,24018,34,0.0014156049629444583
2,0.5622991460104476,0.003759978388618171,0.002421483740523926,24084,52,0.002159109782428168
3,0.5812345679012346,0.020455075587509763,0.0008749663577327028,23868,18,0.0007541478129713424
4,0.9007825473264697,0.002780875820055073,0.0016847603443650998,24098,10,0.0004149721968628102
5,0.763788435692956,0.03247579943612601,0.014495189603185122,24344,214,0.008790667104830759
6,0.7284982380078836,0.10807911579790044,0.06691978449562522,25607,1497,0.058460577185925726
7,0.7612937906355246,0.5756752185778854,0.21562820737130506,38304,14466,0.3776629072681704
8,0.8073058879309966,0.6902353685918869,0.22683932961641007,42378,18279,0.4313322950587569
9,0.8501688002799077,0.5482399247586834,0.1385489089633129,30963,6961,0.2248167167264154
10,0.8112123184059845,0.15422110210081658,0.04935844725428757,25397,1089,0.04287908020632358
11,0.47773127933356474,0.007853173064530835,0.014130121733095552,24348,195,0.008008871365204534
12,0.9878367659316041,0.2509298885991781,0.004773973859185499,24219,134,0.005532846112556258
