feature,importance_mean,importance_std
tmax,0.39723727736875764,0.0022860093699275594
vpd,0.05437027948798441,0.0006388702616647814
dist_airbase_km,0.04368145287375165,0.0009623209876278985
sws,0.04183655462143927,0.0005016997003580453
tsf_years,0.034026214272812515,0.0002560401725221576
tmin,0.03159785641677202,0.00041476417744058667
tsf_log,0.023532905230119174,0.00026428819692027317
month_cos,0.022412577693776005,0.00035050002766699484
month_sin,0.020327294724218882,0.0005690533624239163
elev,0.019605497814896133,0.0001688491586279817
kbdi,0.014481956840193733,0.0003220673329576016
aridity_index,0.013573213872973344,0.00032286407758996594
dist_campground_km,0.012567472685565661,0.00022370948046701914
dist_firestation_km,0.011584583600570885,0.00042365975187476585
pet_anom_a,0.005746244809068157,0.0003421195218966627
cwd_cum3_anom_a,0.0038653651970472548,0.00019443353174231187
cwd_cum6_anom_a,0.0035426288520892246,0.00014058847847659282
log_housing_density,0.0019162994305922608,5.2681092693007654e-05
vpd_roll6_std,0.0017602025589143367,9.724752826514128e-05
dist_road_km,0.0015141436366473027,7.455542486101377e-05
cwd_anom_a,0.0014826538115291221,7.866416594768098e-05
fire_season,0.0012658193050629097,0.00011165390130075903
windward_index,0.0010857884748743719,0.00011879545294878388
srad,0.0010614751825689828,0.00020026207554398528
fveg_forest,0.0003873615993986501,1.4153042883029631e-05
dist_transmission_km,0.000341237629110247,0.00021546638639273385
tst_broadcast_years,0.00014423017708413698,4.828329942190952e-05
any_treatment_5yr,0.0,0.0
ppt,-2.582285895351699e-05,2.5386667603896377e-05
aet_anom_a,-0.0002540082472693328,1.3733366082382663e-05
tst_mechanical_years,-0.000284612371675097,2.2395033208659738e-05
fveg_herb,-0.0003720137205235341,0.00010444245622671293
fveg_shrub,-0.0004805254320206398,8.465582362854874e-05
housing_density,-0.0015479354184859018,6.17481883816335e-05
