month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.839520773878367,0.0023348913484791053,0.0003572915995205988,96313,34,0.0003530156884325065
2,0.511474065356532,0.0006831519642602263,0.0005527857354354928,96331,52,0.0005398054624160447
3,0.578481065248551,0.007945186374954186,0.0002005343942607622,96296,18,0.0001869236520727756
4,0.8623625089583398,0.000434424104204386,0.0003020331489514095,96289,10,0.0001038540227855726
5,0.7006527436434414,0.004866834919686599,0.0035476890000368734,96487,214,0.002217915366836983
6,0.7246567799383089,0.029450176816893492,0.017971547829857132,97715,1497,0.015320063449828582
7,0.78427261057901,0.2872586158158835,0.1075847749386281,110170,14466,0.1313061632023237
8,0.8040189163656262,0.36831503316412106,0.1304622400722199,113830,18279,0.16058156900641307
9,0.801651087718722,0.18211148714591585,0.05933443182979072,102972,6961,0.06760090121586451
10,0.8294565908929652,0.0543369561157763,0.011511424582692624,97325,1089,0.011189314153609043
11,0.512745246091044,0.002253693252688525,0.0023821328664093326,96468,195,0.002021395695982087
12,0.9899743936693126,0.09617901920250195,0.0013292826007513402,96408,134,0.0013899261472077006
