feature,importance_mean,importance_std
tmax,0.38503994848320444,0.0023952404434852696
vpd,0.0507001988948518,0.0006485879779200665
sws,0.04459258907792123,0.0005187418019992456
dist_airbase_km,0.035532633342158434,0.0007194162449339823
tsf_years,0.02810230379786214,0.00028990530467481464
tmin,0.026956869519796388,0.0004987879442033212
month_sin,0.02422081854770186,0.000620414033852025
tsf_log,0.02143934030122465,0.000195533735780508
pet_anom_b,0.019924121252828365,0.0003116711099681424
elev,0.01796846150504059,0.00019307985394359558
month_cos,0.01246386750706916,0.00034289247473157894
dist_firestation_km,0.010820513351815086,0.0003746821753424315
dist_campground_km,0.010263655225627532,0.000145715984273788
aridity_index,0.008763201328068427,0.00029237332777027236
kbdi,0.007371348921496446,0.0002888451012402713
srad,0.0029466853087378063,0.00021792842812473447
fire_season,0.0017003052495603078,0.00017565420081978278
vpd_roll6_std,0.0015222779939124242,0.0001014584905454666
cwd_cum3_anom_b,0.0014756604571252384,0.00015140370770491812
log_housing_density,0.001463578450656855,6.91020631493584e-05
dist_road_km,0.0011467435402270798,5.588108514082798e-05
windward_index,0.0011136395381402986,5.820771550534974e-05
cwd_anom_b,0.0008526935520804857,9.417025090804882e-05
cwd_cum6_anom_b,0.0003398498871388433,0.00014681794869486912
dist_transmission_km,0.0003242629494052629,0.00016655640844602933
fveg_forest,0.0002491852259676186,3.270932995726911e-05
fveg_shrub,0.00017729719037415937,0.00011460461767112578
tst_broadcast_years,4.813972729693639e-05,5.111061058193614e-05
any_treatment_5yr,0.0,0.0
aet_anom_b,-9.002146218870522e-05,3.351986341085206e-05
ppt,-0.0001123504247209528,3.1536759605361526e-05
fveg_herb,-0.0001660347638332782,9.163958807431159e-05
tst_mechanical_years,-0.00024290631149848085,1.4609611345226963e-05
housing_density,-0.0011852990200465151,6.647799731062389e-05
