ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.938262446182413,0.2516922001319346,0.008315100888798398,60547,572,0.009447206302541826
1,0.9681945043533828,0.5391080831514162,0.04073961069030717,11285,585,0.05183872396987151
4,0.8910826573539627,0.6181657722836467,0.14315505306695903,14301,3264,0.22823578770715336
5,0.8950800088674583,0.6400340560979537,0.12704290034926968,52616,11331,0.21535274441234606
6,0.8941168043019755,0.49543910915396383,0.09270038267617794,71082,9894,0.13919135646155145
7,0.8241244908888434,0.09192589237210089,0.01684022750976322,37237,402,0.010795713940435589
8,0.8496487245880642,0.5174222335619247,0.10471291323543241,14878,2241,0.1506250840166689
9,0.8805979345354379,0.34854507810239777,0.06316159216105342,14791,1233,0.08336150361706443
13,0.7245258980485292,0.26869837400321817,0.04554411596165883,10230,516,0.05043988269794721
14,0.90624313401957,0.13712879280772433,0.015874964975951235,60917,939,0.015414416336983108
78,0.8899130744771491,0.6743567393946779,0.167492751070318,36699,10524,0.2867653069565928
80,0.8021384416331224,0.1415899034370905,0.05434817415010376,3148,188,0.05972045743329098
85,0.8105899521035046,0.28651985903621463,0.06351762105026981,17663,1186,0.06714601143633585
