ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9160093803653621,0.07264107690984668,0.009970519031010625,60547,572,0.009447206302541826
1,0.8914974039460022,0.20072075404005507,0.051413237485600706,11285,585,0.05183872396987151
4,0.897982771186757,0.6173481013505129,0.12614550759136378,14301,3264,0.22823578770715336
5,0.8521372114878885,0.4721263585917689,0.12825774942404944,52616,11331,0.21535274441234606
6,0.8598008042602703,0.374440489766908,0.09552178195614626,71082,9894,0.13919135646155145
7,0.8328974781312657,0.050520374220958564,0.018261362283145236,37237,402,0.010795713940435589
8,0.8088756421940387,0.3190012069122252,0.1091344732879157,14878,2241,0.1506250840166689
9,0.8789486866494219,0.2932279265486257,0.06312536437047528,14791,1233,0.08336150361706443
13,0.7043639963418896,0.18984088014583841,0.04595774652223889,10230,516,0.05043988269794721
14,0.9065170896350317,0.10257285674955718,0.015286351541699475,60917,939,0.015414416336983108
78,0.8568597923443826,0.5813186690474168,0.15307945369387466,36699,10524,0.2867653069565928
80,0.8309166546866015,0.18214024914261648,0.052922890969667714,3148,188,0.05972045743329098
85,0.7802108739444763,0.15559070169678604,0.06694399806402966,17663,1186,0.06714601143633585
