feature,importance_mean,importance_std
tmax,0.34433490196912747,0.0018047582868515708
month_sin,0.11297173016728894,0.0011942362114521318
vpd,0.0600836029326818,0.0003947267975900356
sws,0.032953772408142526,0.0005061491788725848
tmin,0.03209609520238192,0.000364495222157566
pet_anom_b,0.02906656839302151,0.0007296795287416208
srad,0.02621404729176573,0.0005411933425116528
dist_airbase_km,0.024765436228497185,0.000915627603588823
tsf_years,0.021599512849292624,0.0005708454224642865
tsf_log,0.014515841765507752,0.00017623610650351632
dist_campground_km,0.009585277192816589,0.0004638692084844859
dist_firestation_km,0.008493283905964998,0.00033586990457022686
aridity_index,0.006357187913794649,0.0002500385405539892
fire_season,0.004441357231698339,0.00040783456366447554
elev,0.003162803336339515,0.0001964904784100885
vpd_roll6_std,0.0020896900419480557,4.0471093807195856e-05
log_housing_density,0.001667047869048166,6.724486495363447e-05
cwd_cum3_anom_b,0.0015404484330497682,8.45795690415288e-05
dist_road_km,0.0012222819695314469,8.820010875523132e-05
windward_index,0.0011830045555190293,8.74534426408245e-05
kbdi,0.0009810254077685433,0.0003465917673376933
cwd_anom_b,0.0005979312025925498,4.8623752996302794e-05
ppt,0.00032736103607762247,7.432017686409358e-05
fveg_shrub,0.0002886547288242891,8.987980524199358e-05
aet_anom_b,0.00022199900303481178,5.4057291124091476e-05
cwd_cum6_anom_b,0.0001928249847445329,0.00011043762181692072
tst_broadcast_years,0.00013914385976772082,3.493313537406633e-05
fveg_forest,7.634159344460656e-07,2.176784626840739e-06
any_treatment_5yr,0.0,0.0
dist_transmission_km,-6.770581448161117e-05,0.00018186333174761797
fveg_herb,-9.888351975526622e-05,0.00013429881127466795
tst_mechanical_years,-0.0001234688709781162,2.6440317072419536e-05
month_cos,-0.0002487588583547362,0.00014644051685030066
housing_density,-0.0014046562154972132,7.939258463333548e-05
