ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9417235424938891,0.07039372273887937,0.0030413302397384314,180491,572,0.003169133086968325
1,0.9569184936480338,0.21141777959161406,0.016180226551731902,32660,585,0.017911818738518066
4,0.8969765867357425,0.3545705163410215,0.07502920815152389,36555,3264,0.08929011079195733
5,0.8946091635236946,0.3488122728479216,0.06839583154076122,135206,11331,0.08380545242075056
6,0.8890274474343108,0.22581334855938295,0.04377486474285729,193403,9894,0.05115742775448157
7,0.8250461901874214,0.030843900587790747,0.004546616331480141,110912,402,0.0036244950952106173
8,0.8421640587360069,0.18763105337195843,0.048259559476446015,40136,2241,0.05583516045445485
9,0.8639899248023755,0.1104285711617359,0.02693599964712412,41922,1233,0.029411764705882353
13,0.7480748516000958,0.126280614669196,0.0165036636099991,29655,516,0.017400101163378857
14,0.891139348915173,0.0328638609291311,0.00540267162531055,180897,939,0.005190799184066071
78,0.8932938816303773,0.4270584803074624,0.09585526738801299,89060,10524,0.11816752750954412
80,0.7978351771131539,0.05263676714983731,0.020415589692424494,9062,188,0.02074597219156919
85,0.8062676575607501,0.09556295838998509,0.023136259848797438,50633,1186,0.023423459008946733
