month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8246106749807391,0.0018596105356322085,0.0003621055720157338,96313,34,0.0003530156884325065
2,0.5140974507580933,0.0006689413872988011,0.000559789616454808,96331,52,0.0005398054624160447
3,0.6055773673921122,0.003999061808300273,0.00019665364059590185,96296,18,0.0001869236520727756
4,0.8981834044807279,0.0006489420236613178,0.0002090968487318913,96289,10,0.0001038540227855726
5,0.7582143982877354,0.00799211579434904,0.0027269502923108293,96487,214,0.002217915366836983
6,0.7259009937534273,0.02910208156033753,0.016550622443141136,97715,1497,0.015320063449828582
7,0.7614005270455836,0.2574681245009933,0.11065056999412518,110170,14466,0.1313061632023237
8,0.8099140696268833,0.3759910699417191,0.1311560850125259,113830,18279,0.16058156900641307
9,0.8584890081617764,0.24761381861364698,0.05728085519684617,102972,6961,0.06760090121586451
10,0.8140813374268818,0.05010484362757278,0.01185948292575815,97325,1089,0.011189314153609043
11,0.477753168273875,0.002059746890642572,0.0025258690450285044,96468,195,0.002021395695982087
12,0.9877492458558114,0.0774318784699855,0.0013352852579829179,96408,134,0.0013899261472077006
