feature,importance_mean,importance_std
tmax,0.3845678490649596,0.0015240280102951271
vpd,0.054028312458139285,0.00029510267129779334
dist_airbase_km,0.04549484263398786,0.001970109131677513
sws,0.0420996963065217,0.0011429720680333235
tsf_years,0.03372827735570647,0.0006498086751056761
tmin,0.030646326697662894,0.00042890593766071046
tsf_log,0.025107734032655114,0.0005456641659081222
month_sin,0.02287965735698332,0.0005466405549098797
month_cos,0.018678525227551823,0.00040275995211908186
elev,0.016595279380435323,0.00033415833909955956
kbdi,0.015968520203481672,0.00014823765568647694
aridity_index,0.014214466876858834,0.0002861541551083286
dist_firestation_km,0.01365403823880713,0.0006886240083145854
dist_campground_km,0.012332548741101323,0.0009208292761515045
pet_anom_a,0.008694117104705513,0.0008432075573651467
cwd_cum6_anom_a,0.004851505984948878,0.0002941410876602821
cwd_cum3_anom_a,0.003588499813165269,0.0001433310777969287
log_housing_density,0.0019701065889238256,0.00017864094730487903
vpd_roll6_std,0.001799859144404281,0.00010467723685048209
windward_index,0.0014424706889053951,0.00016231940393159273
fire_season,0.0013242227636502512,0.0001055128662468628
dist_road_km,0.0012996879031515584,4.85905978018715e-05
srad,0.000998934489745884,0.00024189061031865144
cwd_anom_a,0.0006612602795350586,4.6394451398774055e-05
tst_broadcast_years,0.00035116982081093704,7.02350973175351e-05
aet_anom_a,0.0,0.0
fveg_forest,0.0,0.0
any_treatment_5yr,0.0,0.0
tst_mechanical_years,0.0,0.0
ppt,-3.929561125957104e-05,0.00013843196737864797
fveg_shrub,-0.0001059341485776244,0.00024047745684331498
dist_transmission_km,-0.00023317240093423397,0.0002008474045633998
fveg_herb,-0.0003257693380971149,0.0001627281867756917
housing_density,-0.0016979278019095378,0.00021917333454222945
