ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9284583025453917,0.033984961383405385,0.0031618005765494403,180491,572,0.003169133086968325
1,0.9129972087322048,0.10185823431741903,0.01796388046173201,32660,585,0.017911818738518066
4,0.9292674674778144,0.5016583884150911,0.07066100248163079,36555,3264,0.08929011079195733
5,0.8677814452390817,0.27276728261241984,0.06860290609547733,135206,11331,0.08380545242075056
6,0.8659934296728213,0.1923012304242865,0.04411688106860671,193403,9894,0.05115742775448157
7,0.8298433067672225,0.03403853351855838,0.0046193052489298505,110912,402,0.0036244950952106173
8,0.802871499779888,0.12794335689153208,0.049593426298535484,40136,2241,0.05583516045445485
9,0.878870498645423,0.12216441951851997,0.026693800922768088,41922,1233,0.029411764705882353
13,0.7382572332399824,0.11663633331612605,0.016507625211141828,29655,516,0.017400101163378857
14,0.8929533800461618,0.026264191659807614,0.005278715129142331,180897,939,0.005190799184066071
78,0.8826943279130862,0.4048592797412731,0.09160293683992797,89060,10524,0.11816752750954412
80,0.8245193345129689,0.058812960597666296,0.02008118661096464,9062,188,0.02074597219156919
85,0.7825510261536438,0.06559070836300054,0.023677406658380903,50633,1186,0.023423459008946733
