month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8307368658366037,0.001972506843852786,0.000357884051171173,96313,34,0.0003530156884325065
2,0.41483505069801146,0.0006147862824694866,0.0005528173790895602,96331,52,0.0005398054624160447
3,0.5933627389203949,0.005876775552711284,0.00020385293635141188,96296,18,0.0001869236520727756
4,0.8419406101018915,0.0003765547627614271,0.0003421234883277268,96289,10,0.0001038540227855726
5,0.6804810376178101,0.004162558592417013,0.0038786807539891313,96487,214,0.002217915366836983
6,0.7174147674536611,0.028731646669292912,0.01881427576644964,97715,1497,0.015320063449828582
7,0.7863078095597976,0.28849487079178265,0.10605240022131802,110170,14466,0.1313061632023237
8,0.8082874514240709,0.37785472367228573,0.1285677351128007,113830,18279,0.16058156900641307
9,0.8048821624765613,0.181724918359623,0.059267489701897436,102972,6961,0.06760090121586451
10,0.8324695916081108,0.05717452338402119,0.011381146754276867,97325,1089,0.011189314153609043
11,0.511323434666428,0.002319378649644812,0.002350219928706189,96468,195,0.002021395695982087
12,0.9900267163465966,0.09827289221717336,0.00132929802606586,96408,134,0.0013899261472077006
