feature,importance_mean,importance_std
tmax,0.36138313394337207,0.0015824339822500327
vpd,0.046206038256735596,0.0006737533394184016
sws,0.04366444089997919,0.0009925497582414713
dist_airbase_km,0.033926096231776184,0.0018674137847724595
month_sin,0.026305624645955983,0.0002878893073121183
tsf_years,0.024963551760764792,0.0006952580189361614
tmin,0.022648157827446537,0.0005182546069433448
tsf_log,0.021129779315556308,0.0003460309609237856
pet_anom_b,0.0198472586574572,0.0007369046753178119
elev,0.014171149979611752,0.0003564504540460362
dist_firestation_km,0.011605711492122616,0.00058022714412832
dist_campground_km,0.00906878104470039,0.0010506965191692998
aridity_index,0.00714339113249216,0.00016689337675708887
month_cos,0.007093419709465287,0.0003493857981575117
kbdi,0.005850234262422038,0.00047296451272855165
srad,0.0026709883713760484,0.00025722498176478526
cwd_cum3_anom_b,0.0022298956263181236,9.4096323215728e-05
fire_season,0.0021101874952385246,8.191128967499892e-05
cwd_cum6_anom_b,0.0017200758213488543,0.00024306604874778015
vpd_roll6_std,0.0015935160455031738,0.00011879936591788628
windward_index,0.0015741916382103094,0.00012024216869007122
log_housing_density,0.0014271731409049248,9.387944214746117e-05
dist_road_km,0.0010861875077227134,5.152967956305159e-05
cwd_anom_b,0.0005988378005365336,3.201423588864018e-05
fveg_shrub,0.0003415461902996464,0.00014530476891269436
tst_broadcast_years,0.00015700116597054946,5.37485600998337e-05
any_treatment_5yr,2.0533227784724772e-08,0.0
fveg_forest,2.0533227784724772e-08,0.0
aet_anom_b,2.0533227784724772e-08,0.0
tst_mechanical_years,2.0533227784724772e-08,0.0
ppt,-0.00010076358849990808,6.496114825412113e-05
dist_transmission_km,-0.0001857910979211175,0.00018377502778646
fveg_herb,-0.00021440444411324755,0.00016763517816430727
housing_density,-0.0012249085276970994,0.0002044814102506642
