ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9511819223783856,0.21070339264734392,0.010970312673384247,45471,572,0.012579446240460953
1,0.9538745287924788,0.46936715473642826,0.051113655120995145,8507,585,0.06876689784883037
4,0.8924864145531615,0.6754905119088165,0.16067913242828888,11558,3264,0.2824017996193113
5,0.8819267325058057,0.6394589793941555,0.1417141754129619,42510,11331,0.2665490472829922
6,0.8839454085903689,0.5093290383371122,0.10911224578831015,55700,9894,0.17763016157989228
7,0.8360169159971731,0.08869761025459375,0.023421443930981372,28124,402,0.01429384155881098
8,0.8314504987441274,0.45611311908949365,0.12172442785243585,11859,2241,0.18897040222615735
9,0.8675266360894474,0.3427518555921459,0.07939287464932082,11458,1233,0.1076104032117298
13,0.7344997796201946,0.2792648533172624,0.057223984165611114,7938,516,0.06500377928949358
14,0.8796071161727459,0.11013408058019024,0.022572550239025296,45575,939,0.020603400987383433
78,0.8796566893352714,0.7109415758057608,0.18169636663999003,30028,10524,0.350472891967497
80,0.8187738246505718,0.18198623898873714,0.06515436059710855,2549,188,0.07375441349548843
85,0.7986717816878596,0.27064590534258004,0.07810652167039017,13643,1186,0.08693102690024188
