month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8294782305850958,0.01102045928969325,0.001540083844763671,24018,34,0.0014156049629444583
2,0.49893291316705934,0.0031446373625886826,0.002465811822333578,24084,52,0.002159109782428168
3,0.5714779874213837,0.021663902835475587,0.0009486306036419995,23868,18,0.0007541478129713424
4,0.8783211557622054,0.0019908649369632316,0.002014549734041653,24098,10,0.0004149721968628102
5,0.7534902455933785,0.028090833577642565,0.014895764352905128,24344,214,0.008790667104830759
6,0.7172812651433103,0.10477310381556819,0.06668091877760231,25607,1497,0.058460577185925726
7,0.7493963644201567,0.5656494480685582,0.21879814984757884,38304,14466,0.3776629072681704
8,0.7983343520149995,0.6771909209245612,0.22772414140795322,42378,18279,0.4313322950587569
9,0.842202556241991,0.5319005627594604,0.13656953987945464,30963,6961,0.2248167167264154
10,0.7979479334158676,0.1368860647988143,0.048674378434712985,25397,1089,0.04287908020632358
11,0.5042311461017212,0.00786665247226929,0.014490980925061354,24348,195,0.008008871365204534
12,0.9822457155782227,0.1832368385818236,0.004949142013121547,24219,134,0.005532846112556258
