feature,importance_mean,importance_std
tmax,0.22743855996649862,0.0019643010283502227
dist_airbase_km,0.044785309625502645,0.0010532382467408569
sws,0.03756656367926283,0.00046321759935591015
tsf_years,0.028484075763282067,0.0002802511145928974
month_sin,0.023548842987610574,0.0006400626919573668
tsf_log,0.019521236364675888,0.00021232435195188756
elev,0.019245853271618964,0.0002705247917202986
aridity_index,0.015170335475074691,0.0003820978335166116
vpd,0.013316469072690618,0.00022875014241268896
dist_campground_km,0.012103773183553757,0.00021110389988050318
kbdi,0.011526832877334758,0.0002131349532633505
month_cos,0.011013756950998243,0.00022280648896380077
dist_firestation_km,0.010563713906985272,0.0004278733518649959
tmin,0.007165488434890399,0.00016477819208204496
pet_anom_a,0.006539204897157114,0.0003527911912583447
cwd_cum3_anom_a,0.004722860406971519,0.00017020401877855442
cwd_cum6_anom_a,0.0032938800762683405,0.00018987590373778935
dist_road_km,0.001752468545786412,7.688370638949894e-05
fire_season,0.0017407755837753002,7.617557345349184e-05
windward_index,0.001028221636277271,5.585776485145068e-05
cwd_anom_a,0.00047192999483713916,3.311880748280232e-05
fveg_forest,0.0003702031233332903,4.0675382657817446e-05
tst_broadcast_years,0.00010921794150791087,4.6845699514467736e-05
ppt,3.972543849428689e-09,0.0
srad,3.972543849428689e-09,0.0
vpd_roll6_std,3.972543849428689e-09,0.0
aet_anom_a,3.972543849428689e-09,0.0
log_housing_density,3.972543849428689e-09,0.0
any_treatment_5yr,3.972543849428689e-09,0.0
dist_transmission_km,-9.100656477523117e-05,0.00019552078911420106
fveg_herb,-0.0004182205845595588,6.86497723251305e-05
fveg_shrub,-0.0004773419236892673,0.00010043631738311194
tst_mechanical_years,-0.0006440112351872474,3.7111725011652694e-05
housing_density,-0.0007521251626306791,3.808577020661552e-05
