ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.939603643422214,0.12188638110100793,0.011934935357213931,45471,572,0.012579446240460953
1,0.9149173458312564,0.3101013053880567,0.06184037932188425,8507,585,0.06876689784883037
4,0.9205068326914803,0.7568847532057981,0.1394106975212217,11558,3264,0.2824017996193113
5,0.8620796128443751,0.5858499733617348,0.14346783745610486,42510,11331,0.2665490472829922
6,0.8653493568965911,0.47123627404638213,0.111407953956258,55700,9894,0.17763016157989228
7,0.8431402345461927,0.09541012103230397,0.02380804956182248,28124,402,0.01429384155881098
8,0.80196776570481,0.3711315774761008,0.12763258734609417,11859,2241,0.18897040222615735
9,0.8778094654538893,0.35790376527600387,0.07843172743758946,11458,1233,0.1076104032117298
13,0.7245856911883589,0.2658256119883139,0.05751085825531235,7938,516,0.06500377928949358
14,0.8814975824802131,0.09225107414033559,0.021436581513010144,45575,939,0.020603400987383433
78,0.8746633515167019,0.7089219307969664,0.16376836459539743,30028,10524,0.350472891967497
80,0.8320525471536583,0.18857138416081257,0.06343701505001514,2549,188,0.07375441349548843
85,0.7795446690747706,0.2183184499405703,0.08095744657457227,13643,1186,0.08693102690024188
