month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8418768149354472,0.013457247408391916,0.0014830645607110788,24018,34,0.0014156049629444583
2,0.4851476076769436,0.0024645341207738276,0.0023715606567957133,24084,52,0.002159109782428168
3,0.5548975075704636,0.026906616844485684,0.0010440537166840854,23868,18,0.0007541478129713424
4,0.8350942377947526,0.001394706243155382,0.0034481608950425245,24098,10,0.0004149721968628102
5,0.6917248277438021,0.01772540888404968,0.022698503571464808,24344,214,0.008790667104830759
6,0.7130922289761328,0.10270573926271581,0.07966790107463725,25607,1497,0.058460577185925726
7,0.7741490973560449,0.5999244414704414,0.19830850910948755,38304,14466,0.3776629072681704
8,0.7954059047069459,0.6780199093750346,0.21933415494595884,42378,18279,0.4313322950587569
9,0.7976990849814376,0.46044932443513037,0.14704917872868353,30963,6961,0.2248167167264154
10,0.8154320404215687,0.15522735704769713,0.044745971310130785,25397,1089,0.04287908020632358
11,0.5091796209421349,0.008151827471123307,0.012669215878765922,24348,195,0.008008871365204534
12,0.9853443494588506,0.23050301218710217,0.004834028523414717,24219,134,0.005532846112556258
