feature,importance_mean,importance_std
tmax,0.20676136517241384,0.0018814601352314187
sws,0.03957475210902879,0.00040915116437302736
dist_airbase_km,0.035151165408758,0.0007005444041549207
month_sin,0.02677328423396297,0.0007133996320047525
tsf_years,0.02264854600164763,0.0003050091393768231
pet_anom_b,0.020654444123957227,0.0002771199737012916
tsf_log,0.01730994651239883,0.00013449890296160443
elev,0.01675572589046568,0.00021292786006250913
vpd,0.01066514124868585,0.00028246909098514404
dist_firestation_km,0.009395811097681372,0.0003050269991616253
dist_campground_km,0.009258133057801831,0.00016316949832113263
aridity_index,0.009060789263733082,0.0002886654347224783
kbdi,0.004446070856847983,0.0003030710342791226
tmin,0.004317432737665006,0.0003191512489574369
month_cos,0.004233811926343445,0.0002085845043186039
fire_season,0.0021250159113620935,0.00013343161554489768
cwd_cum3_anom_b,0.0016933627437170306,0.00014965919405657432
dist_road_km,0.0012062175529683028,0.00010430031567516395
windward_index,0.0008112517984852907,0.00017885699889173785
fveg_forest,0.0002461698003786594,3.897754191631493e-05
cwd_anom_b,0.00024034278483777704,2.5190510596076702e-05
fveg_shrub,0.0001662357745500609,8.957584252586483e-05
cwd_cum6_anom_b,0.00013588686401437843,0.00016608902891897555
tst_broadcast_years,6.082308861949936e-05,3.7939162116731556e-05
ppt,-1.897993162636169e-08,0.0
srad,-1.897993162636169e-08,0.0
aet_anom_b,-1.897993162636169e-08,0.0
vpd_roll6_std,-1.897993162636169e-08,0.0
any_treatment_5yr,-1.897993162636169e-08,0.0
log_housing_density,-1.897993162636169e-08,0.0
fveg_herb,-0.00019469913923564341,0.00010769801510140995
dist_transmission_km,-0.00022600349069721304,0.00018492444759910794
tst_mechanical_years,-0.0005027360127474844,1.3408567484081613e-05
housing_density,-0.0006208759345400549,3.983195505172738e-05
