feature,importance,importance_type,coefficient,odds_ratio
tmax,2.1608617,abs_coefficient,2.1608617,8.678613
dist_airbase_km,1.1297967,abs_coefficient,-1.1297967,0.32309893
sws,1.0671068,abs_coefficient,-1.0671068,0.34400234
vpd,0.7192095,abs_coefficient,-0.7192095,0.48713717
kbdi,0.66130066,abs_coefficient,-0.66130066,0.5161795
month_sin,0.645601,abs_coefficient,-0.645601,0.52434736
tmin,0.5932312,abs_coefficient,-0.5932312,0.552539
dist_campground_km,0.5885665,abs_coefficient,-0.5885665,0.55512244
tsf_years,0.57379955,abs_coefficient,-0.57379955,0.5633808
dist_firestation_km,0.5260183,abs_coefficient,0.5260183,1.6921812
elev,0.46858943,abs_coefficient,0.46858943,1.5977389
aridity_index,0.41386417,abs_coefficient,0.41386417,1.5126516
month_cos,0.38640693,abs_coefficient,-0.38640693,0.679494
tsf_log,0.32568496,abs_coefficient,0.32568496,1.384979
dist_transmission_km,0.20720375,abs_coefficient,-0.20720375,0.812854
fveg_shrub,0.18718478,abs_coefficient,0.18718478,1.20585
fveg_herb,0.18166475,abs_coefficient,0.18166475,1.1992121
fire_season,0.17250527,abs_coefficient,0.17250527,1.1882781
pet_anom_b,0.13535033,abs_coefficient,0.13535033,1.1449379
windward_index,0.11643877,abs_coefficient,0.11643877,1.1234887
cwd_cum3_anom_b,0.09146167,abs_coefficient,0.09146167,1.0957749
cwd_cum6_anom_b,0.090474024,abs_coefficient,0.090474024,1.0946931
dist_road_km,0.08696023,abs_coefficient,0.08696023,1.0908533
housing_density,0.028423922,abs_coefficient,0.028423922,1.0288317
tst_broadcast_years,0.02076168,abs_coefficient,-0.02076168,0.9794524
tst_mechanical_years,0.015176606,abs_coefficient,0.015176606,1.0152923
fveg_forest,0.01405073,abs_coefficient,0.01405073,1.0141499
cwd_anom_b,0.012737884,abs_coefficient,0.012737884,1.0128194
ppt,0.0,abs_coefficient,0.0,1.0
vpd_roll6_std,0.0,abs_coefficient,0.0,1.0
srad,0.0,abs_coefficient,0.0,1.0
any_treatment_5yr,0.0,abs_coefficient,0.0,1.0
log_housing_density,0.0,abs_coefficient,0.0,1.0
aet_anom_b,0.0,abs_coefficient,0.0,1.0
