ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9410834799846804,0.21782913480780297,0.010893355966376358,45471,572,0.012579446240460953
1,0.9548186700673447,0.49761278051299856,0.051393346435420234,8507,585,0.06876689784883037
4,0.8937931706773619,0.6755255962533186,0.1571743203200332,11558,3264,0.2824017996193113
5,0.8929782703350817,0.6668532936494437,0.14119466605975214,42510,11331,0.2665490472829922
6,0.8865592712786537,0.5247209627862366,0.10913568172023763,55700,9894,0.17763016157989228
7,0.8338288357649025,0.10628052232486557,0.0231571823006714,28124,402,0.01429384155881098
8,0.8300503833684593,0.44383421810480517,0.12255107475590138,11859,2241,0.18897040222615735
9,0.8651021521048112,0.3350314433372583,0.07822005409426207,11458,1233,0.1076104032117298
13,0.7348146825173014,0.27842937945294366,0.058108316968214106,7938,516,0.06500377928949358
14,0.8973345726563877,0.12042407319779809,0.022235621499938137,45575,939,0.020603400987383433
78,0.8861461849847326,0.7291291285948603,0.1803347350846991,30028,10524,0.350472891967497
80,0.8163992448205323,0.17807854740862092,0.06569563560535598,2549,188,0.07375441349548843
85,0.8050725186039638,0.27370127275793404,0.08005027032765615,13643,1186,0.08693102690024188
