ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9289468966633269,0.12352800418086493,0.011832467204478149,45471,572,0.012579446240460953
1,0.9230815623267026,0.3462348217595965,0.0589265549746897,8507,585,0.06876689784883037
4,0.9246794133013707,0.7694367219225731,0.14327432177399207,11558,3264,0.2824017996193113
5,0.8732982389735839,0.6136637378873303,0.14332781013444756,42510,11331,0.2665490472829922
6,0.8689592576565492,0.48758210969379084,0.11168837359688515,55700,9894,0.17763016157989228
7,0.8371604211106648,0.11859423002182524,0.02346461530638725,28124,402,0.01429384155881098
8,0.7960871001855903,0.3564380364162603,0.1276124015736303,11859,2241,0.18897040222615735
9,0.8759034061277383,0.3516650173787038,0.07707690727195332,11458,1233,0.1076104032117298
13,0.7242770550155728,0.25659163656950806,0.0583786329519011,7938,516,0.06500377928949358
14,0.9000027533089572,0.10664404289444292,0.020970051311411577,45575,939,0.020603400987383433
78,0.8807813088034414,0.7221303654087449,0.1690648330633189,30028,10524,0.350472891967497
80,0.8275343120026674,0.1840414503656873,0.0635732769173706,2549,188,0.07375441349548843
85,0.7874762031303366,0.22472271526219068,0.08251513796616976,13643,1186,0.08693102690024188
