month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8260942343915552,0.009031056306307676,0.0014768479902287279,24018,34,0.0014156049629444583
2,0.5169817646983509,0.0026965488944068164,0.0023490746741282992,24084,52,0.002159109782428168
3,0.5729326811087817,0.02840509572509032,0.0009405631180871028,23868,18,0.0007541478129713424
4,0.8664833111922949,0.001730933191158024,0.002843201560201719,24098,10,0.0004149721968628102
5,0.7077691515196115,0.019929730572124035,0.022262256047270425,24344,214,0.008790667104830759
6,0.7268989797651435,0.10928287445598235,0.07718925281490169,25607,1497,0.058460577185925726
7,0.7824978323022305,0.6093620721491975,0.20192102047442226,38304,14466,0.3776629072681704
8,0.8037150779058958,0.688400016967455,0.22201028410418866,42378,18279,0.4313322950587569
9,0.8004527372563324,0.4647841036381436,0.14656688883546104,30963,6961,0.2248167167264154
10,0.8269100454482746,0.17318068604639283,0.04542995172012101,25397,1089,0.04287908020632358
11,0.49349987844584786,0.008437097594835095,0.012453646157244558,24348,195,0.008008871365204534
12,0.9894831427252363,0.27698101361338423,0.004714280390973204,24219,134,0.005532846112556258
