ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.8731027931065793,0.09714034860924987,0.013162984145663859,45471,572,0.012579446240460953
1,0.9322127926773219,0.3968894813327232,0.04862109130405943,8507,585,0.06876689784883037
4,0.906856317701906,0.7254158591163735,0.1397359829875092,11558,3264,0.2824017996193113
5,0.9046740649614277,0.7180652886204459,0.12810403825184657,42510,11331,0.2665490472829922
6,0.8923206298513798,0.5686273432751794,0.10354534849483259,55700,9894,0.17763016157989228
7,0.9328136569874098,0.24494319075685864,0.015663435850316817,28124,402,0.01429384155881098
8,0.8262906527800163,0.3945640989750558,0.1200389485462674,11859,2241,0.18897040222615735
9,0.9033407694275397,0.451262484710105,0.07064820344600707,11458,1233,0.1076104032117298
13,0.7848403760870155,0.4310451551849433,0.05686998050509035,7938,516,0.06500377928949358
14,0.8092748051425513,0.06891309467904609,0.024203948126331573,45575,939,0.020603400987383433
78,0.9219082943428031,0.829390831618534,0.1504726939203357,30028,10524,0.350472891967497
80,0.9346461110059747,0.3628737446179252,0.0522957660890453,2549,188,0.07375441349548843
85,0.8612281222108945,0.29772103570251607,0.07633185615957419,13643,1186,0.08693102690024188
