month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.7662700378683829,0.0035977265082393563,0.0025288514486977434,24018,34,0.0014156049629444583
2,0.9283839496056541,0.02209278823716388,0.0028613505416654208,24084,52,0.002159109782428168
3,0.4362601910086187,0.0007302834030211997,0.0018480301493572473,23868,18,0.0007541478129713424
4,0.9801830787113915,0.010837475374813934,0.0028122030139897886,24098,10,0.0004149721968628102
5,0.8614095766312536,0.0645057587215695,0.015963958481984,24344,214,0.008790667104830759
6,0.8211579110107399,0.1725977726342076,0.06443809737414237,25607,1497,0.058460577185925726
7,0.8307815826555967,0.7024020414711443,0.18586560548162268,38304,14466,0.3776629072681704
8,0.8398924959461527,0.7432949743628114,0.19581370411845964,42378,18279,0.4313322950587569
9,0.781611091619873,0.42180085363616265,0.1470910111483158,30963,6961,0.2248167167264154
10,0.8290455945455422,0.17634421628001534,0.049299113353768916,25397,1089,0.04287908020632358
11,0.47532079149269557,0.014505867496194159,0.011053327648118469,24348,195,0.008008871365204534
12,0.9833120571111641,0.1731488613411813,0.005204280909028842,24219,134,0.005532846112556258
