feature,importance_mean,importance_std
dist_airbase_km,0.04213822447828821,0.0005571133990868816
tmin,0.0384751860577089,0.00041304936896778137
tmax,0.033998901886487375,0.00048098123586260056
elev,0.020114340775105034,0.0004248791966306038
srad,0.01991647472394329,0.00011547696299923639
sws,0.01896335402841518,0.0004966335376112065
kbdi,0.017038119199168023,0.0004575859282136239
dist_campground_km,0.010908740636661408,0.00034994173287701384
ppt,0.008313691046320005,0.00023588340523270903
fire_season,0.007940486357161759,0.00027279267612768514
month_sin,0.006878448397552961,0.00013830591924329812
pet_anom_a,0.005335508232212671,0.00026705133363428266
dist_firestation_km,0.004763435616343426,0.00010784412733196609
windward_index,0.004097593663896504,9.922344046270308e-05
tsf_log,0.004018028908084914,0.0001104959725384289
tsf_years,0.003900534392243404,0.00011332451823781982
housing_density,0.002742703658796963,0.00011271940533558183
log_housing_density,0.0027092670223750615,0.0001446582835643852
vpd,0.0026358287236289525,0.00020131870403922332
cwd_cum3_anom_a,0.0026196238346358315,0.00015896867662877853
dist_road_km,0.0021541822397447064,6.383185454162322e-05
aridity_index,0.00167186174759395,6.234480854316147e-05
cwd_cum6_anom_a,0.0016461578883972372,0.00020494775664300498
fveg_shrub,0.0012234734004964887,9.285539243263545e-05
cwd_anom_a,0.0011959918720837015,0.00011324513361722584
vpd_roll6_std,0.0010943801160715027,0.00011785267329068932
dist_transmission_km,0.001080631848171243,0.0001458519398559941
month_cos,0.0005948727220976169,3.824275636902673e-05
fveg_forest,0.0005042753293349022,2.2182470656403278e-05
fveg_herb,0.0004745894805006978,3.367939928731153e-05
aet_anom_a,0.0002204296586153287,9.848957015114351e-05
tst_mechanical_years,0.0,0.0
any_treatment_5yr,0.0,0.0
tst_broadcast_years,-1.9464052214379635e-05,1.5843725935856885e-05
