month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.7095618892987481,0.002514822523371858,0.0035754000750383426,24018,34,0.0014156049629444583
2,0.9562102293096384,0.04187133520196316,0.0037859840728376093,24084,52,0.002159109782428168
3,0.46811204286047053,0.0009157333149855635,0.0022617093029824622,23868,18,0.0007541478129713424
4,0.9674090833610097,0.007415025352285759,0.003565322336598268,24098,10,0.0004149721968628102
5,0.830782153522005,0.060209221895499335,0.020322488515160813,24344,214,0.008790667104830759
6,0.8015912649299705,0.17008613246273505,0.0667005372756701,25607,1497,0.058460577185925726
7,0.8034057283664597,0.6540063741773737,0.20335992835783634,38304,14466,0.3776629072681704
8,0.8065584207380636,0.6852646473434418,0.21497360534659185,42378,18279,0.4313322950587569
9,0.7896153358909982,0.43330960372021005,0.14795400709902629,30963,6961,0.2248167167264154
10,0.8397311975651317,0.20684271306002372,0.046079053361726505,25397,1089,0.04287908020632358
11,0.45598136665084865,0.02122149651614745,0.01189025064574001,24348,195,0.008008871365204534
12,0.9755768593197599,0.12437902911654222,0.0058209648794256925,24219,134,0.005532846112556258
