feature,importance,importance_type,coefficient
tmax,0.27024138759895044,feature_importance,0.27024138759895044
kbdi,0.11694527834716326,feature_importance,0.11694527834716326
dist_airbase_km,0.08216149369285813,feature_importance,0.08216149369285813
elev,0.06093350850259918,feature_importance,0.06093350850259918
vpd,0.05759752503049833,feature_importance,0.05759752503049833
tmin,0.048422093205823996,feature_importance,0.048422093205823996
srad,0.039777218673699676,feature_importance,0.039777218673699676
sws,0.0369068004422476,feature_importance,0.0369068004422476
dist_campground_km,0.025894524973715836,feature_importance,0.025894524973715836
ppt,0.022364067341284453,feature_importance,0.022364067341284453
housing_density,0.022235199024113278,feature_importance,0.022235199024113278
pet_anom_b,0.022071107753996917,feature_importance,0.022071107753996917
log_housing_density,0.021276062159175404,feature_importance,0.021276062159175404
cwd_cum6_anom_b,0.020189680978283123,feature_importance,0.020189680978283123
fire_season,0.01827943830147382,feature_importance,0.01827943830147382
dist_firestation_km,0.01709139511571857,feature_importance,0.01709139511571857
month_sin,0.014333336785544912,feature_importance,0.014333336785544912
windward_index,0.014047587896161152,feature_importance,0.014047587896161152
vpd_roll6_std,0.013487999889032291,feature_importance,0.013487999889032291
cwd_cum3_anom_b,0.01168601557649415,feature_importance,0.01168601557649415
aet_anom_b,0.009584126928755196,feature_importance,0.009584126928755196
dist_road_km,0.009157369958165691,feature_importance,0.009157369958165691
dist_transmission_km,0.008505681495614982,feature_importance,0.008505681495614982
tsf_years,0.007207070032500207,feature_importance,0.007207070032500207
tsf_log,0.00718198933486676,feature_importance,0.00718198933486676
fveg_herb,0.006955200889207559,feature_importance,0.006955200889207559
cwd_anom_b,0.006631655031947037,feature_importance,0.006631655031947037
aridity_index,0.002916856115981109,feature_importance,0.002916856115981109
month_cos,0.0027088015613808396,feature_importance,0.0027088015613808396
fveg_shrub,0.0021809237228759128,feature_importance,0.0021809237228759128
fveg_forest,0.0009871189313346122,feature_importance,0.0009871189313346122
tst_broadcast_years,4.14847085354806e-05,feature_importance,4.14847085354806e-05
tst_mechanical_years,0.0,feature_importance,0.0
any_treatment_5yr,0.0,feature_importance,0.0
