ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9516202940118703,0.0449502812894781,0.003111569832094521,180491,572,0.003169133086968325
1,0.9335419522886398,0.11821825477208396,0.01622764827629518,32660,585,0.017911818738518066
4,0.9263123771969812,0.4259378932531658,0.06746637975283307,36555,3264,0.08929011079195733
5,0.9102936834831816,0.39001931944879076,0.06449147422800734,135206,11331,0.08380545242075056
6,0.9143295158180444,0.3020371527979765,0.04135716596691611,193403,9894,0.05115742775448157
7,0.905265118620093,0.09195147162125406,0.003687438316959367,110912,402,0.0036244950952106173
8,0.8249681960752658,0.14434940384571812,0.0486290304085602,40136,2241,0.05583516045445485
9,0.9145647586901191,0.17550559444320107,0.025338176166349657,41922,1233,0.029411764705882353
13,0.7976375464194475,0.22573053239230523,0.015700200736589405,29655,516,0.017400101163378857
14,0.9021869539053847,0.028357161465955825,0.005277590826702604,180897,939,0.005190799184066071
78,0.9211233928235628,0.49594848139884673,0.08681150872797333,89060,10524,0.11816752750954412
80,0.8885256474808069,0.08207624872123745,0.01972316550623766,9062,188,0.02074597219156919
85,0.865990962916637,0.10937529279289694,0.02261163969275896,50633,1186,0.023423459008946733
