month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8508391360158558,0.0017345322243834498,0.00035759893838821163,96313,34,0.0003530156884325065
2,0.941674816059417,0.007420895426041025,0.0005406406757516103,96331,52,0.0005398054624160447
3,0.7601390418025578,0.0004077276223378015,0.00019401035198408356,96296,18,0.0001869236520727756
4,0.9902943528703041,0.01586955722165341,0.0001523762361928241,96289,10,0.0001038540227855726
5,0.8353826554955528,0.013904153113783412,0.002563447090200084,96487,214,0.002217915366836983
6,0.825601006970741,0.05067142411263299,0.016685882124385064,97715,1497,0.015320063449828582
7,0.8428906486275445,0.36510217410979195,0.10110110649194892,110170,14466,0.1313061632023237
8,0.8530192958387917,0.4225978027759588,0.11973154806365478,113830,18279,0.16058156900641307
9,0.8119984855563772,0.18765131595888107,0.05850218582131098,102972,6961,0.06760090121586451
10,0.8841563149528605,0.06505243571132491,0.011780046595988084,97325,1089,0.011189314153609043
11,0.515420437660318,0.008323302993472387,0.0021486958454180988,96468,195,0.002021395695982087
12,0.9953512270171672,0.1786448866076258,0.0013057511182697802,96408,134,0.0013899261472077006
