feature,importance_mean,importance_std
tmax,0.014078752801421502,0.00027789740994263326
dist_airbase_km,0.013999493662337058,0.0009088759315252961
sws,0.012962832299931115,0.0005431278016403702
fire_season,0.011501634427328388,0.0003031640362793883
month_sin,0.010576560011097724,0.00040267379423458883
srad,0.010483493743015026,0.0005659477899775526
elev,0.005419323651669994,0.00026634210844847
dist_campground_km,0.005351625306468577,0.0008553682450312966
log_housing_density,0.0026166515841308468,0.00026585044217914024
pet_anom_a,0.00181908968551312,0.00017086330385157578
month_cos,0.0015334240878532412,0.00016045642291409744
windward_index,0.0014360522952446386,0.00012861388181525558
dist_road_km,0.0013628375517441115,4.718527117791583e-05
tmin,0.0013274233071917329,0.00018866474226392001
ppt,0.0011056248477680163,0.00016087814494777287
kbdi,0.0011008344457355212,0.0003847660017851992
vpd,0.0010805162302199634,8.09596545545008e-05
cwd_cum6_anom_a,0.0009395726350082789,0.00011634999270227157
housing_density,0.0009199070828030065,0.00022990712181629596
cwd_cum3_anom_a,0.0006305657440453416,0.00017862891801717637
cwd_anom_a,0.00039585599101681356,2.682943603706587e-05
aridity_index,0.00034022795707837615,6.598913324091598e-05
dist_firestation_km,0.0003066003966713859,0.00010996695628528528
vpd_roll6_std,0.0002996100059521334,7.335419956380458e-05
dist_transmission_km,0.00022848319838126853,0.00014828830913022928
fveg_herb,2.8697239093844475e-05,6.028095915770933e-05
fveg_shrub,1.8398652053353005e-05,8.319898751300882e-05
tst_broadcast_years,0.0,0.0
any_treatment_5yr,0.0,0.0
tst_mechanical_years,0.0,0.0
aet_anom_a,-6.3952204466311006e-06,6.640510616407269e-05
fveg_forest,-0.00014711999011691735,3.1850036418922275e-05
tsf_log,-0.0013896815203684686,0.00011291044597774378
tsf_years,-0.001541360180376139,9.339722095900824e-05
