ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9464151593547322,0.04189529324641389,0.0031085488743801504,180491,572,0.003169133086968325
1,0.9443992778677112,0.14751766672395908,0.01595144244160607,32660,585,0.017911818738518066
4,0.9326174802661145,0.4623494183246155,0.06943799736186529,36555,3264,0.08929011079195733
5,0.9132703048645113,0.39362524655201603,0.06529505258411594,135206,11331,0.08380545242075056
6,0.9069154494353441,0.273510541634482,0.04189379472822421,193403,9894,0.05115742775448157
7,0.9009547210108177,0.08296035292559094,0.0036861680210034556,110912,402,0.0036244950952106173
8,0.8136938011682272,0.13477180144362166,0.04913763797450094,40136,2241,0.05583516045445485
9,0.9173717210107002,0.20076765637408048,0.025284130477338164,41922,1233,0.029411764705882353
13,0.7977081449486569,0.18651765664152947,0.01577488939991646,29655,516,0.017400101163378857
14,0.9007738091201283,0.028466079532565153,0.0051948986666001526,180897,939,0.005190799184066071
78,0.9270093840910866,0.5342767464613083,0.0892223288764123,89060,10524,0.11816752750954412
80,0.9196858860932488,0.1117974097169039,0.018859144762160593,9062,188,0.02074597219156919
85,0.858296758779419,0.10015914190978628,0.02265622622774193,50633,1186,0.023423459008946733
