month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8953642997098505,0.0025432480565168265,0.00035641165298559783,96313,34,0.0003530156884325065
2,0.9671170005121335,0.009990740118273347,0.0005377040986059274,96331,52,0.0005398054624160447
3,0.7731744993087148,0.0007505940146320688,0.00019261805480036323,96296,18,0.0001869236520727756
4,0.9924100790411199,0.01968240083727245,0.00015041327412736202,96289,10,0.0001038540227855726
5,0.8307271834350349,0.014362911600552449,0.002646434547201339,96487,214,0.002217915366836983
6,0.8289111428702464,0.05375113083090109,0.016266486288786526,97715,1497,0.015320063449828582
7,0.8320298812745586,0.3473251257929376,0.10307733465431829,110170,14466,0.1313061632023237
8,0.8396321914466548,0.3975481980035239,0.12274258545109387,113830,18279,0.16058156900641307
9,0.8259549772863007,0.19738739310270212,0.05857607599271393,102972,6961,0.06760090121586451
10,0.8892090623482958,0.07045349864396083,0.01127885198381305,97325,1089,0.011189314153609043
11,0.5210507405889289,0.006365410273688228,0.002119491320814728,96468,195,0.002021395695982087
12,0.9948761758649675,0.18139420694794597,0.0013114610701605966,96408,134,0.0013899261472077006
