feature,importance_mean,importance_std
tmax,0.01864220165434214,0.0002620572594480308
dist_airbase_km,0.016438547786411805,0.0009976716311487551
sws,0.01521091801937513,0.0009505160169343276
fire_season,0.015011743656942711,0.0004952998054150514
month_sin,0.014414112036870264,0.0005369642326152128
srad,0.012352886316517365,0.0005686062135906618
elev,0.007170735525209593,0.0002752822474131813
dist_campground_km,0.006948236882719972,0.0008203325371615308
log_housing_density,0.004481016156822481,0.00040239671260524116
pet_anom_b,0.0037125005621704067,0.0002696674756746591
ppt,0.0029328873445867653,0.00020414706366615463
month_cos,0.0029292755498267153,0.00015748191344878615
vpd,0.002568206073257073,0.0001694894791102675
tmin,0.002515171679314454,0.0002882924934023176
dist_road_km,0.0022565835424114278,6.73456061206559e-05
windward_index,0.0021414663477234085,0.0002127627386899349
kbdi,0.0014939994105907628,0.00022914490269460662
cwd_cum3_anom_b,0.0012812044782007036,0.00028875983817191185
housing_density,0.001246617136062622,0.00011455820541853586
dist_transmission_km,0.00121383290465229,0.00014582528872140503
cwd_cum6_anom_b,0.0010339855894991202,0.00016425735365290192
dist_firestation_km,0.0006409051042095326,9.349954654727008e-05
vpd_roll6_std,0.0005774316172823202,8.827558056724425e-05
aet_anom_b,0.00033928313527038513,0.000132422155424048
cwd_anom_b,0.0003241304931913103,0.00012078800193003915
fveg_shrub,0.00015997819066144726,7.18660246710505e-05
aridity_index,0.0001066272916797395,7.24460516283942e-05
any_treatment_5yr,0.0,0.0
tst_mechanical_years,0.0,0.0
tst_broadcast_years,0.0,0.0
fveg_herb,-6.248525200922562e-05,6.272618979199474e-05
fveg_forest,-0.00039991335681894836,5.601415954360027e-05
tsf_log,-0.0010740652767267766,9.890289269467805e-05
tsf_years,-0.0010983167786825065,0.00011831466022993537
