feature,importance,importance_type,coefficient
srad,905,feature_importance,905
dist_airbase_km,841,feature_importance,841
sws,751,feature_importance,751
log_housing_density,600,feature_importance,600
ppt,596,feature_importance,596
dist_campground_km,557,feature_importance,557
pet_anom_a,556,feature_importance,556
tmax,497,feature_importance,497
month_sin,386,feature_importance,386
housing_density,343,feature_importance,343
cwd_cum6_anom_a,322,feature_importance,322
cwd_cum3_anom_a,263,feature_importance,263
kbdi,256,feature_importance,256
dist_road_km,242,feature_importance,242
vpd_roll6_std,237,feature_importance,237
aet_anom_a,236,feature_importance,236
cwd_anom_a,234,feature_importance,234
elev,231,feature_importance,231
dist_firestation_km,197,feature_importance,197
vpd,193,feature_importance,193
month_cos,191,feature_importance,191
dist_transmission_km,176,feature_importance,176
windward_index,173,feature_importance,173
tmin,165,feature_importance,165
tsf_log,120,feature_importance,120
aridity_index,116,feature_importance,116
fveg_herb,96,feature_importance,96
tsf_years,79,feature_importance,79
fire_season,71,feature_importance,71
fveg_forest,45,feature_importance,45
fveg_shrub,25,feature_importance,25
tst_mechanical_years,0,feature_importance,0
any_treatment_5yr,0,feature_importance,0
tst_broadcast_years,0,feature_importance,0
