month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8446918667133447,0.0012718602289143897,0.0003648751532739814,96313,34,0.0003530156884325065
2,0.9441592822781867,0.005352633849570722,0.0005442987406470855,96331,52,0.0005398054624160447
3,0.5404863462519418,0.0002334553707065134,0.00020717196101501558,96296,18,0.0001869236520727756
4,0.991568254759605,0.006403589547477837,0.0001484397122209623,96289,10,0.0001038540227855726
5,0.8562990069808297,0.021270343355336608,0.0024749954275678607,96487,214,0.002217915366836983
6,0.8224613951065503,0.04848287616705754,0.016514146308578722,97715,1497,0.015320063449828582
7,0.8597401636144136,0.4737234455535492,0.10058149337768488,110170,14466,0.1313061632023237
8,0.8616019940684783,0.49322161001820736,0.12019115019665283,113830,18279,0.16058156900641307
9,0.8248486470966864,0.19662363688432255,0.058931865917008615,102972,6961,0.06760090121586451
10,0.8438400361126311,0.04769580816036686,0.01167033511386027,97325,1089,0.011189314153609043
11,0.5144036976045951,0.005583898047787188,0.002120495550591856,96468,195,0.002021395695982087
12,0.9793196362124398,0.08104291212195916,0.001357284783679524,96408,134,0.0013899261472077006
