ecoregion_id,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
-128,0.9245105664681974,0.03464028292323086,0.0031630692590223935,180491,572,0.003169133086968325
1,0.9542905982905984,0.1963039312425514,0.01614581764209581,32660,585,0.017911818738518066
4,0.9377652081378645,0.47796854549989864,0.07261298759377253,36555,3264,0.08929011079195733
5,0.9261870928908228,0.44717464103066823,0.06687284245029558,135206,11331,0.08380545242075056
6,0.9028542211986672,0.2884307362854533,0.043102044183816995,193403,9894,0.05115742775448157
7,0.918139642930943,0.08634622989943876,0.0036377734724623223,110912,402,0.0036244950952106173
8,0.8496362839168022,0.15825770863846364,0.04896614025722476,40136,2241,0.05583516045445485
9,0.894053656504743,0.1499387741741363,0.026266268736322148,41922,1233,0.029411764705882353
13,0.7991091416682029,0.21965127640196183,0.01618590008845562,29655,516,0.017400101163378857
14,0.8635272262853523,0.02411628594223249,0.0053812854902479034,180897,939,0.005190799184066071
78,0.9280761140095213,0.6079387073547706,0.09443748969012182,89060,10524,0.11816752750954412
80,0.9186273310987394,0.11954952914799682,0.019122431790708595,9062,188,0.02074597219156919
85,0.8363679018443138,0.08423446877513248,0.022761553803128786,50633,1186,0.023423459008946733
