month,roc_auc,avg_precision,brier_score,n_samples,n_positive,prevalence
1,0.8579818273241432,0.0015441546740409717,0.00036809518095099863,96313,34,0.0003530156884325065
2,0.9598155041398116,0.015468928966595439,0.0005472757149261248,96331,52,0.0005398054624160447
3,0.6681271364636203,0.00031457993121756134,0.00020599445921004332,96296,18,0.0001869236520727756
4,0.9926448135107344,0.009508774819005254,0.00014610147438470178,96289,10,0.0001038540227855726
5,0.8465370721947157,0.025937654579963193,0.002544409288058922,96487,214,0.002217915366836983
6,0.823881280891687,0.047680023370554415,0.016217290571560322,97715,1497,0.015320063449828582
7,0.8342797240689093,0.3491267400807551,0.10812014795527683,110170,14466,0.1313061632023237
8,0.841993091160669,0.4171432320268486,0.12728645581101036,113830,18279,0.16058156900641307
9,0.831052580856485,0.2084618568529264,0.059029698677223644,102972,6961,0.06760090121586451
10,0.8506787205969898,0.048489335442672296,0.011436594856304936,97325,1089,0.011189314153609043
11,0.5200589562747178,0.007161593716715696,0.0021186401148393917,96468,195,0.002021395695982087
12,0.9753348961406483,0.08071102110623735,0.0013628690314653397,96408,134,0.0013899261472077006
