feature,importance,importance_type,coefficient
tmax,0.1057258347223528,feature_importance,0.1057258347223528
tmin,0.08918552688558275,feature_importance,0.08918552688558275
kbdi,0.07233990679578166,feature_importance,0.07233990679578166
fire_season,0.06825964454246523,feature_importance,0.06825964454246523
vpd,0.06230535653536254,feature_importance,0.06230535653536254
srad,0.057860030860695584,feature_importance,0.057860030860695584
dist_airbase_km,0.05691892961580325,feature_importance,0.05691892961580325
elev,0.04756311836208492,feature_importance,0.04756311836208492
sws,0.04329678997108874,feature_importance,0.04329678997108874
month_sin,0.04200024640028522,feature_importance,0.04200024640028522
dist_campground_km,0.03890167090662103,feature_importance,0.03890167090662103
ppt,0.034626123703660756,feature_importance,0.034626123703660756
log_housing_density,0.03208869038132696,feature_importance,0.03208869038132696
housing_density,0.029715787512407003,feature_importance,0.029715787512407003
month_cos,0.022917451263706805,feature_importance,0.022917451263706805
windward_index,0.021373735113621943,feature_importance,0.021373735113621943
cwd_cum6_anom_b,0.018999824046016096,feature_importance,0.018999824046016096
dist_firestation_km,0.018602564518315344,feature_importance,0.018602564518315344
cwd_cum3_anom_b,0.018237704466948796,feature_importance,0.018237704466948796
pet_anom_b,0.017195522417989335,feature_importance,0.017195522417989335
tsf_years,0.016576146360508057,feature_importance,0.016576146360508057
tsf_log,0.01423496037831572,feature_importance,0.01423496037831572
vpd_roll6_std,0.013691060014117842,feature_importance,0.013691060014117842
aet_anom_b,0.01367153166642678,feature_importance,0.01367153166642678
dist_transmission_km,0.011481081712934018,feature_importance,0.011481081712934018
cwd_anom_b,0.01065875356071949,feature_importance,0.01065875356071949
dist_road_km,0.008589488233238659,feature_importance,0.008589488233238659
fveg_herb,0.005125375080342513,feature_importance,0.005125375080342513
fveg_shrub,0.0034861599579974864,feature_importance,0.0034861599579974864
aridity_index,0.0026836179666134717,feature_importance,0.0026836179666134717
fveg_forest,0.0016545073531987304,feature_importance,0.0016545073531987304
tst_broadcast_years,3.2858693470587353e-05,feature_importance,3.2858693470587353e-05
tst_mechanical_years,0.0,feature_importance,0.0
any_treatment_5yr,0.0,feature_importance,0.0
